Name,Brand,Price,Image_URL,Product_URL,Category,Description
Mondor Footed Ice Skating Tights 3310,Mondor,USD 15.99,https://cdn11.bigcommerce.com/s-bac1n25m/stencil/ea41d350-5908-013b-7a1e-4a6b8e8d9fd6/e/f3b4e970-70a2-013e-4309-1e963be53544/img/loading.svg,https://figureskatingstore.com/mondor-footed-ice-skating-tights-3310/,Apparel,"Please be advised that all hosiery items (tights, socks etc) are non returnable and final sale due to due to hygiene and health reasons"
Rockerz Skate Guards,Rockerz,USD 32.99,https://cdn11.bigcommerce.com/s-bac1n25m/stencil/ea41d350-5908-013b-7a1e-4a6b8e8d9fd6/e/f3b4e970-70a2-013e-4309-1e963be53544/img/loading.svg,https://figureskatingstore.com/rockerz-skate-guards/,Apparel,This product is non-returnable or exchangeable. A tiny gap due to tension requirement might be present between the two pieces.
Mondor 104 Knee High Socks 2 Pack,Mondor,USD 12.00,https://cdn11.bigcommerce.com/s-bac1n25m/stencil/ea41d350-5908-013b-7a1e-4a6b8e8d9fd6/e/f3b4e970-70a2-013e-4309-1e963be53544/img/loading.svg,https://figureskatingstore.com/mondor-104-knee-high-socks-2-pack/,Apparel,"Please be advised that all hosiery items (tights, socks etc) are non returnable and final sale due to due to hygiene and health reasons"
Return Label,Figure Skating Store,USD 8.50,https://cdn11.bigcommerce.com/s-bac1n25m/stencil/ea41d350-5908-013b-7a1e-4a6b8e8d9fd6/e/f3b4e970-70a2-013e-4309-1e963be53544/img/loading.svg,https://figureskatingstore.com/return-label-1/,Apparel,
Mondor Footed Ice Skating Tights 3301,Mondor,USD 19.99,https://cdn11.bigcommerce.com/s-bac1n25m/stencil/ea41d350-5908-013b-7a1e-4a6b8e8d9fd6/e/f3b4e970-70a2-013e-4309-1e963be53544/img/loading.svg,https://figureskatingstore.com/mondor-footed-ice-skating-tights-3301/,Apparel,"Please be advised that all hosiery items (tights, socks etc) are non returnable and final sale due to due to hygiene and health reasons"
Mondor Evolution Over the Boot Ice Skating Tights 3338,Mondor,USD 20.99,https://cdn11.bigcommerce.com/s-bac1n25m/stencil/ea41d350-5908-013b-7a1e-4a6b8e8d9fd6/e/f3b4e970-70a2-013e-4309-1e963be53544/img/loading.svg,https://figureskatingstore.com/mondor-evolution-over-the-boot-ice-skating-tights-3338/,Apparel,"Please be advised that all hosiery items (tights, socks etc) are non returnable and final sale due to due to hygiene and health reasons"
Figure Skating Gloves - Competition and Practice,Kami So,USD 19.99,https://cdn11.bigcommerce.com/s-bac1n25m/stencil/ea41d350-5908-013b-7a1e-4a6b8e8d9fd6/e/f3b4e970-70a2-013e-4309-1e963be53544/img/loading.svg,https://figureskatingstore.com/figure-skating-gloves-competition-and-practice/,Apparel,60 Day Warranty
Jerry's 1219 Guard Keychains,Jerry Skating World,USD 1.70,https://cdn11.bigcommerce.com/s-bac1n25m/stencil/ea41d350-5908-013b-7a1e-4a6b8e8d9fd6/e/f3b4e970-70a2-013e-4309-1e963be53544/img/loading.svg,https://figureskatingstore.com/jerrys-1219-guard-keychains/,Apparel,Key Chain Mini Skate Guard 1219 Size: Appx 2.5 inches
Mondor Footed Ice Skating Tights 3310,Mondor,USD 15.99,https://cdn11.bigcommerce.com/s-bac1n25m/stencil/ea41d350-5908-013b-7a1e-4a6b8e8d9fd6/e/f3b4e970-70a2-013e-4309-1e963be53544/img/loading.svg,https://figureskatingstore.com/mondor-footed-ice-skating-tights-3310/,Apparel,"Please be advised that all hosiery items (tights, socks etc) are non returnable and final sale due to due to hygiene and health reasons"
Rockerz Skate Guards,Rockerz,USD 32.99,https://cdn11.bigcommerce.com/s-bac1n25m/stencil/ea41d350-5908-013b-7a1e-4a6b8e8d9fd6/e/f3b4e970-70a2-013e-4309-1e963be53544/img/loading.svg,https://figureskatingstore.com/rockerz-skate-guards/,Apparel,This product is non-returnable or exchangeable. A tiny gap due to tension requirement might be present between the two pieces.
Mondor 104 Knee High Socks 2 Pack,Mondor,USD 12.00,https://cdn11.bigcommerce.com/s-bac1n25m/stencil/ea41d350-5908-013b-7a1e-4a6b8e8d9fd6/e/f3b4e970-70a2-013e-4309-1e963be53544/img/loading.svg,https://figureskatingstore.com/mondor-104-knee-high-socks-2-pack/,Apparel,"Please be advised that all hosiery items (tights, socks etc) are non returnable and final sale due to due to hygiene and health reasons"
Return Label,Figure Skating Store,USD 8.50,https://cdn11.bigcommerce.com/s-bac1n25m/stencil/ea41d350-5908-013b-7a1e-4a6b8e8d9fd6/e/f3b4e970-70a2-013e-4309-1e963be53544/img/loading.svg,https://figureskatingstore.com/return-label-1/,Apparel,
Mondor Footed Ice Skating Tights 3301,Mondor,USD 19.99,https://cdn11.bigcommerce.com/s-bac1n25m/stencil/ea41d350-5908-013b-7a1e-4a6b8e8d9fd6/e/f3b4e970-70a2-013e-4309-1e963be53544/img/loading.svg,https://figureskatingstore.com/mondor-footed-ice-skating-tights-3301/,Apparel,"Please be advised that all hosiery items (tights, socks etc) are non returnable and final sale due to due to hygiene and health reasons"
Mondor Evolution Over the Boot Ice Skating Tights 3338,Mondor,USD 20.99,https://cdn11.bigcommerce.com/s-bac1n25m/stencil/ea41d350-5908-013b-7a1e-4a6b8e8d9fd6/e/f3b4e970-70a2-013e-4309-1e963be53544/img/loading.svg,https://figureskatingstore.com/mondor-evolution-over-the-boot-ice-skating-tights-3338/,Apparel,"Please be advised that all hosiery items (tights, socks etc) are non returnable and final sale due to due to hygiene and health reasons"
Figure Skating Gloves - Competition and Practice,Kami So,USD 19.99,https://cdn11.bigcommerce.com/s-bac1n25m/stencil/ea41d350-5908-013b-7a1e-4a6b8e8d9fd6/e/f3b4e970-70a2-013e-4309-1e963be53544/img/loading.svg,https://figureskatingstore.com/figure-skating-gloves-competition-and-practice/,Apparel,60 Day Warranty
Jerry's 1219 Guard Keychains,Jerry Skating World,USD 1.70,https://cdn11.bigcommerce.com/s-bac1n25m/stencil/ea41d350-5908-013b-7a1e-4a6b8e8d9fd6/e/f3b4e970-70a2-013e-4309-1e963be53544/img/loading.svg,https://figureskatingstore.com/jerrys-1219-guard-keychains/,Apparel,Key Chain Mini Skate Guard 1219 Size: Appx 2.5 inches
Mondor Footed Ice Skating Tights 3310,Mondor,USD 15.99,https://cdn11.bigcommerce.com/s-bac1n25m/stencil/ea41d350-5908-013b-7a1e-4a6b8e8d9fd6/e/f3b4e970-70a2-013e-4309-1e963be53544/img/loading.svg,https://figureskatingstore.com/mondor-footed-ice-skating-tights-3310/,Apparel,"Please be advised that all hosiery items (tights, socks etc) are non returnable and final sale due to due to hygiene and health reasons"
Rockerz Skate Guards,Rockerz,USD 32.99,https://cdn11.bigcommerce.com/s-bac1n25m/stencil/ea41d350-5908-013b-7a1e-4a6b8e8d9fd6/e/f3b4e970-70a2-013e-4309-1e963be53544/img/loading.svg,https://figureskatingstore.com/rockerz-skate-guards/,Apparel,This product is non-returnable or exchangeable. A tiny gap due to tension requirement might be present between the two pieces.
Mondor 104 Knee High Socks 2 Pack,Mondor,USD 12.00,https://cdn11.bigcommerce.com/s-bac1n25m/stencil/ea41d350-5908-013b-7a1e-4a6b8e8d9fd6/e/f3b4e970-70a2-013e-4309-1e963be53544/img/loading.svg,https://figureskatingstore.com/mondor-104-knee-high-socks-2-pack/,Apparel,"Please be advised that all hosiery items (tights, socks etc) are non returnable and final sale due to due to hygiene and health reasons"
Return Label,Figure Skating Store,USD 8.50,https://cdn11.bigcommerce.com/s-bac1n25m/stencil/ea41d350-5908-013b-7a1e-4a6b8e8d9fd6/e/f3b4e970-70a2-013e-4309-1e963be53544/img/loading.svg,https://figureskatingstore.com/return-label-1/,Apparel,
Mondor Footed Ice Skating Tights 3301,Mondor,USD 19.99,https://cdn11.bigcommerce.com/s-bac1n25m/stencil/ea41d350-5908-013b-7a1e-4a6b8e8d9fd6/e/f3b4e970-70a2-013e-4309-1e963be53544/img/loading.svg,https://figureskatingstore.com/mondor-footed-ice-skating-tights-3301/,Apparel,"Please be advised that all hosiery items (tights, socks etc) are non returnable and final sale due to due to hygiene and health reasons"
Mondor Evolution Over the Boot Ice Skating Tights 3338,Mondor,USD 20.99,https://cdn11.bigcommerce.com/s-bac1n25m/stencil/ea41d350-5908-013b-7a1e-4a6b8e8d9fd6/e/f3b4e970-70a2-013e-4309-1e963be53544/img/loading.svg,https://figureskatingstore.com/mondor-evolution-over-the-boot-ice-skating-tights-3338/,Apparel,"Please be advised that all hosiery items (tights, socks etc) are non returnable and final sale due to due to hygiene and health reasons"
Figure Skating Gloves - Competition and Practice,Kami So,USD 19.99,https://cdn11.bigcommerce.com/s-bac1n25m/stencil/ea41d350-5908-013b-7a1e-4a6b8e8d9fd6/e/f3b4e970-70a2-013e-4309-1e963be53544/img/loading.svg,https://figureskatingstore.com/figure-skating-gloves-competition-and-practice/,Apparel,60 Day Warranty
Jerry's 1219 Guard Keychains,Jerry Skating World,USD 1.70,https://cdn11.bigcommerce.com/s-bac1n25m/stencil/ea41d350-5908-013b-7a1e-4a6b8e8d9fd6/e/f3b4e970-70a2-013e-4309-1e963be53544/img/loading.svg,https://figureskatingstore.com/jerrys-1219-guard-keychains/,Apparel,Key Chain Mini Skate Guard 1219 Size: Appx 2.5 inches
Jerry's Ice Skating Dress - 526 Frost Petal Dress Size : Youth 10-12,Jerry Skating World,USD 299.98,https://cdn11.bigcommerce.com/s-bac1n25m/stencil/ea41d350-5908-013b-7a1e-4a6b8e8d9fd6/e/f3b4e970-70a2-013e-4309-1e963be53544/img/loading.svg,https://figureskatingstore.com/jerry-s-ice-skating-dress-526-frost-petal-dress-size-youth-10-12/,Apparel,
Jerry's Ice Skating Dress - 80 Portend Dress Size Adult Large,Jerry Skating World,USD 214.98,https://cdn11.bigcommerce.com/s-bac1n25m/stencil/ea41d350-5908-013b-7a1e-4a6b8e8d9fd6/e/f3b4e970-70a2-013e-4309-1e963be53544/img/loading.svg,https://figureskatingstore.com/jerry-s-ice-skating-dress-80-portend-dress-size-adult-large/,Apparel,
Jerry's Ice Skating Dress - 696 Fancy Fleece Dress (Deep Pink),Jerry Skating World,USD 194.98,https://cdn11.bigcommerce.com/s-bac1n25m/stencil/ea41d350-5908-013b-7a1e-4a6b8e8d9fd6/e/f3b4e970-70a2-013e-4309-1e963be53544/img/loading.svg,https://figureskatingstore.com/jerry-s-ice-skating-dress-696-fancy-fleece-dress-deep-pink/,Apparel,Delivery Time 1-4 weeks
Jerry's Ice Skating Dress - 609 Sequin Lining Dress (Ice Blue),Jerry Skating World,USD 249.98,https://cdn11.bigcommerce.com/s-bac1n25m/stencil/ea41d350-5908-013b-7a1e-4a6b8e8d9fd6/e/f3b4e970-70a2-013e-4309-1e963be53544/img/loading.svg,https://figureskatingstore.com/jerry-s-ice-skating-dress-609-sequin-lining-dress-ice-blue/,Apparel,Delivery Time 1-4 weeks
Jerry's Ice Skating Dress - 693 Fleece Catwalk Dress  (Green),Jerry Skating World,USD 184.98,https://cdn11.bigcommerce.com/s-bac1n25m/stencil/ea41d350-5908-013b-7a1e-4a6b8e8d9fd6/e/f3b4e970-70a2-013e-4309-1e963be53544/img/loading.svg,https://figureskatingstore.com/jerry-s-ice-skating-dress-693-fleece-catwalk-dress-green/,Apparel,Delivery Time 1-4 weeks
