Name,Price,Brand,URL,Image_URL,Category
Bauer Vapor X5 Pro Senior Ice Hockey Skates With Runner,$657.49,,https://www.hockeymonkey.com/bauer-hockey-skates-vapor-x5-pro-sr-w-runner.html,https://www.hockeymonkey.com/media/catalog/product/cache/0755353d24487896ff68f51449fa6807/6/8/688698587647-ti-1-new-1_2.jpg,Skates
Bauer Vapor X4 Senior Ice Hockey Skates,$374.99,Bauer,https://www.hockeymonkey.com/bauer-hockey-skates-vapor-x4-sr.html,https://www.hockeymonkey.com/media/catalog/product/cache/0755353d24487896ff68f51449fa6807/6/8/688698605327-1-new.jpg,Skates
Bauer Vapor FlyLite Senior Ice Hockey Skates With Runner,"$1,179.99",,https://www.hockeymonkey.com/bauer-hockey-skates-vapor-flylite-sr-bundle.html,https://www.hockeymonkey.com/media/catalog/product/cache/0755353d24487896ff68f51449fa6807/6/8/688698704211-ti-1_1.jpg,Skates
Bauer Supreme M50 Pro Senior Ice Hockey Skates With Runner,$849.99,Bauer,https://www.hockeymonkey.com/bauer-hockey-skates-supreme-m50-pro-sr-w-runner.html,https://www.hockeymonkey.com/media/catalog/product/cache/0755353d24487896ff68f51449fa6807/6/8/688698639506-ti-1.jpg,Skates
Bauer Vapor Hyperlite 2 Senior Ice Hockey Skates With Runner,$844.99,Bauer,https://www.hockeymonkey.com/bauer-hockey-skates-vapor-hyperlite-2-sr-w-runner.html,https://www.hockeymonkey.com/media/catalog/product/cache/0755353d24487896ff68f51449fa6807/6/8/688698587784-1-new-1_2.jpg,Skates
True HZRDUS 9X Senior Ice Hockey Skates,$379.99,True,https://www.hockeymonkey.com/true-hockey-skates-hzrdus-9x4-sr.html,https://www.hockeymonkey.com/media/catalog/product/cache/0755353d24487896ff68f51449fa6807/6/8/681489123475-1-new.jpg,Skates
Bauer Supreme Shadow Senior Ice Hockey Skates With Runner,"$1,129.99",Bauer,https://www.hockeymonkey.com/bauer-hockey-skates-supreme-shadow-sr-w-runner.html,https://www.hockeymonkey.com/media/catalog/product/cache/0755353d24487896ff68f51449fa6807/6/8/688698639483-ti-1.jpg,Skates
Bauer Vapor Hyperlite 2 Intermediate Ice Hockey Skates With Runner,$769.99,Bauer,https://www.hockeymonkey.com/bauer-hockey-skates-vapor-hyperlite-2-int-w-runner.html,https://www.hockeymonkey.com/media/catalog/product/cache/0755353d24487896ff68f51449fa6807/6/8/688698587784-1-new-1_1.jpg,Skates
True HZRDUS 7X Ice Hockey Skates - Senior,$224.99,True,https://www.hockeymonkey.com/true-hockey-skates-hzrdus-7x4-sr.html,https://www.hockeymonkey.com/media/catalog/product/cache/0755353d24487896ff68f51449fa6807/6/8/681489123857-1-new.jpg,Skates
Bauer Vapor X-Lite Intermediate Ice Hockey Skates,$249.99,Bauer,https://www.hockeymonkey.com/bauer-hockey-skates-vapor-x-lite-int.html,https://www.hockeymonkey.com/media/catalog/product/cache/0755353d24487896ff68f51449fa6807/6/8/688698616668-1_12.jpg,Skates
CCM Tacks XF Pro Senior Ice Hockey Skates,"$1,199.99",CCM,https://www.hockeymonkey.com/ccm-hockey-skates-tacks-xf-pro-sr.html,https://www.hockeymonkey.com/media/catalog/product/cache/0755353d24487896ff68f51449fa6807/1/9/191520835941-1_34.jpg,Skates
Bauer Vapor Hyperlite Pro Stock Senior Ice Hockey Skates,$699.99,Bauer,https://www.hockeymonkey.com/bauer-hockey-skates-vapor-hyperlite-pro-stock-sr.html,https://www.hockeymonkey.com/media/catalog/product/cache/0755353d24487896ff68f51449fa6807/6/8/688698764635-1_29.jpg,Skates
Bauer Vapor X4 Intermediate Ice Hockey Skates,$299.99,Bauer,https://www.hockeymonkey.com/bauer-hockey-skates-vapor-x4-int.html,https://www.hockeymonkey.com/media/catalog/product/cache/0755353d24487896ff68f51449fa6807/6/8/688698605419-1.jpg,Skates
Bauer Vapor Fly30 Senior Ice Hockey Skates,$319.99,Bauer,https://www.hockeymonkey.com/bauer-hockey-skates-vapor-fly30-sr.html,https://www.hockeymonkey.com/media/catalog/product/cache/0755353d24487896ff68f51449fa6807/6/8/688698708981-1_23.jpg,Skates
Bauer Vapor X5 Pro Intermediate Ice Hockey Skates With Runner,$544.99,,https://www.hockeymonkey.com/bauer-hockey-skates-vapor-x5-pro-int-w-runner.html,https://www.hockeymonkey.com/media/catalog/product/cache/0755353d24487896ff68f51449fa6807/6/8/688698587647-ti-1-new-1_1.jpg,Skates
Bauer Vapor FlyPro Senior Ice Hockey Skates With Runner,$919.99,Bauer,https://www.hockeymonkey.com/bauer-hockey-skates-vapor-flypro-sr-bundle.html,https://www.hockeymonkey.com/media/catalog/product/cache/0755353d24487896ff68f51449fa6807/6/8/688698707816-x-1_2.jpg,Skates
Bauer Vapor FlyLite Intermediate Ice Hockey Skates With Runner,"$1,069.99",Bauer,https://www.hockeymonkey.com/bauer-hockey-skates-vapor-flylite-int-bundle.html,https://www.hockeymonkey.com/media/catalog/product/cache/0755353d24487896ff68f51449fa6807/6/8/688698708080-1_20.jpg,Skates
Bauer Supreme Mach Intermediate Ice Hockey Skates With Runner,$609.96,,https://www.hockeymonkey.com/bauer-hockey-skates-supreme-mach-int-w-runner.html,https://www.hockeymonkey.com/media/catalog/product/cache/0755353d24487896ff68f51449fa6807/6/8/688698520491-carbon-1_1.jpg,Skates
Bauer Supreme M30 Senior Ice Hockey Skates,$319.99,Bauer,https://www.hockeymonkey.com/bauer-hockey-skates-supreme-m30-sr.html,https://www.hockeymonkey.com/media/catalog/product/cache/0755353d24487896ff68f51449fa6807/6/8/688698639582-1_21.jpg,Skates
Bauer Vapor X-Lite Senior Ice Hockey Skates,$269.99,Bauer,https://www.hockeymonkey.com/bauer-hockey-skates-vapor-x-lite-sr.html,https://www.hockeymonkey.com/media/catalog/product/cache/0755353d24487896ff68f51449fa6807/6/8/688698616545-1_20.jpg,Skates
CCM Jetspeed FT690 Senior Ice Hockey Skates,$599.99,CCM,https://www.hockeymonkey.com/ccm-hockey-skates-jetspeed-ft690-sr.html,https://www.hockeymonkey.com/media/catalog/product/cache/0755353d24487896ff68f51449fa6807/1/9/191520682736-1-new.jpg,Skates
Bauer Supreme M4 Intermediate Ice Hockey Skates,$261.98,Bauer,https://www.hockeymonkey.com/bauer-hockey-skates-supreme-m4-int.html,https://www.hockeymonkey.com/media/catalog/product/cache/0755353d24487896ff68f51449fa6807/6/8/688698521191-1-1.jpg,Skates
Bauer Supreme M50 Pro Intermediate Ice Hockey Skates With Runner,$699.99,Bauer,https://www.hockeymonkey.com/bauer-hockey-skates-supreme-m50-pro-int-w-runner.html,https://www.hockeymonkey.com/media/catalog/product/cache/0755353d24487896ff68f51449fa6807/6/8/688698639513-ti-1.jpg,Skates
CCM Tacks XF Senior Ice Hockey Skates,$949.99,CCM,https://www.hockeymonkey.com/ccm-hockey-skates-tacks-xf-sr.html,https://www.hockeymonkey.com/media/catalog/product/cache/0755353d24487896ff68f51449fa6807/1/9/191520779290-1_21.jpg,Skates
Bauer Supreme M40 Senior Ice Hockey Skates,$529.99,Bauer,https://www.hockeymonkey.com/bauer-hockey-skates-supreme-m40-sr.html,https://www.hockeymonkey.com/media/catalog/product/cache/0755353d24487896ff68f51449fa6807/6/8/688698639544-1.jpg,Skates
Bauer Supreme M50 Pro Junior Ice Hockey Skates,$599.99,Bauer,https://www.hockeymonkey.com/bauer-hockey-skates-supreme-m50-pro-jr.html,https://www.hockeymonkey.com/media/catalog/product/cache/0755353d24487896ff68f51449fa6807/6/8/688698639520-1_13.jpg,Skates
True HZRDUS 9X Intermediate Ice Hockey Skates,$304.99,True,https://www.hockeymonkey.com/true-hockey-skates-hzrdus-9x4-int.html,https://www.hockeymonkey.com/media/catalog/product/cache/0755353d24487896ff68f51449fa6807/6/8/681489123352-1.jpg,Skates
Bauer Vapor X3 Intermediate Ice Hockey Skates,$187.99,Bauer,https://www.hockeymonkey.com/bauer-hockey-skates-vapor-x3-int.html,https://www.hockeymonkey.com/media/catalog/product/cache/0755353d24487896ff68f51449fa6807/6/8/688698588217-1.jpg,Skates
CCM Tacks XF 80 Senior Ice Hockey Skates,$449.99,CCM,https://www.hockeymonkey.com/ccm-hockey-skates-tacks-xf-80-sr.html,https://www.hockeymonkey.com/media/catalog/product/cache/0755353d24487896ff68f51449fa6807/1/9/191520780692-1_20.jpg,Skates
CCM Tacks XF 90 Senior Ice Hockey Skates,$599.99,CCM,https://www.hockeymonkey.com/ccm-hockey-skates-tacks-xf-90-sr.html,https://www.hockeymonkey.com/media/catalog/product/cache/0755353d24487896ff68f51449fa6807/1/9/191520779733-1_21.jpg,Skates
CCM Jetspeed FT6 Pro Senior Ice Hockey Skates,$804.99,CCM,https://www.hockeymonkey.com/ccm-hockey-skates-jetspeed-ft6-pro-sr.html,https://www.hockeymonkey.com/media/catalog/product/cache/0755353d24487896ff68f51449fa6807/1/9/191520620202-1-new.jpg,Skates
Bauer Vapor Fly40 Senior Ice Hockey Skates,$579.99,Bauer,https://www.hockeymonkey.com/bauer-hockey-skates-vapor-fly40-sr.html,https://www.hockeymonkey.com/media/catalog/product/cache/0755353d24487896ff68f51449fa6807/6/8/688698708295-1_32.jpg,Skates
CCM Jetspeed FT870 Senior Ice Hockey Skates,$349.99,CCM,https://www.hockeymonkey.com/ccm-hockey-skates-jetspeed-ft870-sr.html,https://www.hockeymonkey.com/media/catalog/product/cache/0755353d24487896ff68f51449fa6807/1/9/191035981911-1_21.jpg,Skates
CCM Jetspeed FT675 Senior Ice Hockey Skates,$207.99,CCM,https://www.hockeymonkey.com/ccm-hockey-skates-jetspeed-ft675-sr.html,https://www.hockeymonkey.com/media/catalog/product/cache/0755353d24487896ff68f51449fa6807/1/9/191520706791-1-new.jpg,Skates
Bauer Vapor Fly30 Intermediate Ice Hockey Skates,$259.99,Bauer,https://www.hockeymonkey.com/bauer-hockey-skates-vapor-fly30-int.html,https://www.hockeymonkey.com/media/catalog/product/cache/0755353d24487896ff68f51449fa6807/6/8/688698709179-1_12.jpg,Skates
True Catalyst 5X4 Senior Ice Hockey Skates,$449.99,True,https://www.hockeymonkey.com/true-hockey-skates-cat5x4-sr.html,https://www.hockeymonkey.com/media/catalog/product/cache/0755353d24487896ff68f51449fa6807/6/8/681489146672-1-black_17.jpg,Skates
Bauer Vapor X5 Pro Junior Ice Hockey Skates,$412.49,Bauer,https://www.hockeymonkey.com/bauer-hockey-skates-vapor-x5-pro-jr.html,https://www.hockeymonkey.com/media/catalog/product/cache/0755353d24487896ff68f51449fa6807/6/8/688698588149-1.jpg,Skates
Bauer Vapor X3 Senior Ice Hockey Skates,$224.99,Bauer,https://www.hockeymonkey.com/bauer-hockey-skates-vapor-x3-sr.html,https://www.hockeymonkey.com/media/catalog/product/cache/0755353d24487896ff68f51449fa6807/6/8/688698605877-1-new.jpg,Skates
CCM Jetspeed FT675 Intermediate Ice Hockey Skates,$175.99,CCM,https://www.hockeymonkey.com/ccm-hockey-skates-jetspeed-ft675-int.html,https://www.hockeymonkey.com/media/catalog/product/cache/0755353d24487896ff68f51449fa6807/1/9/191520706975-1.jpg,Skates
True HZRDUS 7X Junior Ice Hockey Skates,$149.99,True,https://www.hockeymonkey.com/true-hockey-skates-hzrdus-7x4-jr.html,https://www.hockeymonkey.com/media/catalog/product/cache/0755353d24487896ff68f51449fa6807/6/8/681489123673-1.jpg,Skates
CCM Jetspeed FT880 Senior Ice Hockey Skates,$499.99,CCM,https://www.hockeymonkey.com/ccm-hockey-skates-jetspeed-ft880-sr.html,https://www.hockeymonkey.com/media/catalog/product/cache/0755353d24487896ff68f51449fa6807/1/9/191035979239-1_22.jpg,Skates
CCM Jetspeed FT8 Pro Senior Ice Hockey Skates,"$1,229.99",CCM,https://www.hockeymonkey.com/ccm-hockey-skates-jetspeed-ft8-pro-sr.html,https://www.hockeymonkey.com/media/catalog/product/cache/0755353d24487896ff68f51449fa6807/6/8/683978050446-1_26.jpg,Skates
Bauer Vapor Hyperlite Pro Stock Intermediate Ice Hockey Skates,$594.99,Bauer,https://www.hockeymonkey.com/bauer-hockey-skates-vapor-hyperlite-pro-stock-int.html,https://www.hockeymonkey.com/media/catalog/product/cache/0755353d24487896ff68f51449fa6807/6/8/688698764871-1_10.jpg,Skates
CCM Jetspeed FT6 Intermediate Ice Hockey Skates,$468.99,CCM,https://www.hockeymonkey.com/ccm-hockey-skates-jetspeed-ft6-int.html,https://www.hockeymonkey.com/media/catalog/product/cache/0755353d24487896ff68f51449fa6807/1/9/191520633301-1.jpg,Skates
Bauer X Senior Ice Hockey Skates,$219.99,Bauer,https://www.hockeymonkey.com/bauer-hockey-skates-x-sr.html,https://www.hockeymonkey.com/media/catalog/product/cache/0755353d24487896ff68f51449fa6807/6/8/688698588224-1-new.jpg,Skates
Bauer Vapor Fly40 Junior Ice Hockey Skates,$399.99,Bauer,https://www.hockeymonkey.com/bauer-hockey-skates-vapor-fly40-jr.html,https://www.hockeymonkey.com/media/catalog/product/cache/0755353d24487896ff68f51449fa6807/6/8/688698708776-1.jpg,Skates
Bauer Supreme M40 Junior Ice Hockey Skates,$219.99,Bauer,https://www.hockeymonkey.com/bauer-hockey-skates-supreme-m40-jr.html,https://www.hockeymonkey.com/media/catalog/product/cache/0755353d24487896ff68f51449fa6807/6/8/688698639568-1_12.jpg,Skates
Bauer Vapor Fly30 Junior Ice Hockey Skates,$229.99,Bauer,https://www.hockeymonkey.com/bauer-hockey-skates-vapor-fly30-jr.html,https://www.hockeymonkey.com/media/catalog/product/cache/0755353d24487896ff68f51449fa6807/6/8/688698709292-1_13.jpg,Skates
Bauer Vapor X5 Pro Youth Ice Hockey Skates,$172.99,Bauer,https://www.hockeymonkey.com/bauer-hockey-skates-vapor-x5-pro-yt.html,https://www.hockeymonkey.com/media/catalog/product/cache/0755353d24487896ff68f51449fa6807/6/8/688698605006-1.jpg,Skates
True Catalyst 9X4 Senior Ice Hockey Skates,"$1,079.99",True,https://www.hockeymonkey.com/true-hockey-skates-cat9x4-sr.html,https://www.hockeymonkey.com/media/catalog/product/cache/0755353d24487896ff68f51449fa6807/6/8/681489147372-1-edit-black_15.jpg,Skates
Bauer Supreme Shadow Intermediate Ice Hockey Skates With Runner,"$1,029.99",,https://www.hockeymonkey.com/bauer-hockey-skates-supreme-shadow-int-w-runner.html,https://www.hockeymonkey.com/media/catalog/product/cache/0755353d24487896ff68f51449fa6807/6/8/688698660364-ti-1.jpg,Skates
CCM Tacks XF 90 Intermediate Ice Hockey Skates,$529.99,CCM,https://www.hockeymonkey.com/ccm-hockey-skates-tacks-xf-90-int.html,https://www.hockeymonkey.com/media/catalog/product/cache/0755353d24487896ff68f51449fa6807/1/9/191520779931-1_13.jpg,Skates
CCM Jetspeed FT860 Senior Ice Hockey Skates,$249.99,CCM,https://www.hockeymonkey.com/ccm-hockey-skates-jetspeed-ft860-sr.html,https://www.hockeymonkey.com/media/catalog/product/cache/0755353d24487896ff68f51449fa6807/1/9/191035979697-1_24.jpg,Skates
CCM Tacks XF 80 Intermediate Ice Hockey Skates,$379.99,CCM,https://www.hockeymonkey.com/ccm-hockey-skates-tacks-xf-80-int.html,https://www.hockeymonkey.com/media/catalog/product/cache/0755353d24487896ff68f51449fa6807/1/9/191520780371-1_13.jpg,Skates
Bauer X-LS Senior Ice Hockey Skates,$79.99,Bauer,https://www.hockeymonkey.com/bauer-hockey-skates-x-ls-sr.html,https://www.hockeymonkey.com/media/catalog/product/cache/0755353d24487896ff68f51449fa6807/6/8/688698475753-1-1.jpg,Skates
Bauer X-LP Youth Ice Hockey Skates,$79.99,Bauer,https://www.hockeymonkey.com/bauer-hockey-skates-x-lp-yth.html,https://www.hockeymonkey.com/media/catalog/product/cache/0755353d24487896ff68f51449fa6807/6/8/688698500783-1.jpg,Skates
Graf Ultra G3075 Senior Hockey Skates,$509.99,Graf,https://www.hockeymonkey.com/graf-hockey-skates-ultra-g3075-sr-25.html,https://www.hockeymonkey.com/media/catalog/product/cache/0755353d24487896ff68f51449fa6807/4/2/421185987884-1_26.jpg,Skates
CCM Tacks AS-V Pro Senior Ice Hockey Skates With Step Blacksteel Runner,$813.97,CCM,https://www.hockeymonkey.com/ccm-hockey-skates-tacks-as-v-pro-sr-blacksteel.html,https://www.hockeymonkey.com/media/catalog/product/cache/0755353d24487896ff68f51449fa6807/1/9/191520429683-black-1-new.jpg,Skates
CCM Tacks 652 Senior Ice Hockey Skates,$649.99,CCM,https://www.hockeymonkey.com/ccm-hockey-skates-tacks-xf-652-sr.html,https://www.hockeymonkey.com/media/catalog/product/cache/0755353d24487896ff68f51449fa6807/1/9/191520857547-1_21.jpg,Skates
Bauer Supreme M40 Intermediate Ice Hockey Skates,$429.99,Bauer,https://www.hockeymonkey.com/bauer-hockey-skates-supreme-m40-int.html,https://www.hockeymonkey.com/media/catalog/product/cache/0755353d24487896ff68f51449fa6807/6/8/688698639551-1_19.jpg,Skates
CCM Jetspeed FT8 Senior Ice Hockey Skates,$949.99,CCM,https://www.hockeymonkey.com/ccm-hockey-skates-jetspeed-ft8-sr.html,https://www.hockeymonkey.com/media/catalog/product/cache/0755353d24487896ff68f51449fa6807/6/8/683978053560-1_30.jpg,Skates
True HZRDUS 5X Junior Ice Hockey Skates,$99.99,True,https://www.hockeymonkey.com/true-hockey-skates-hzrdus-5x4-jr.html,https://www.hockeymonkey.com/media/catalog/product/cache/0755353d24487896ff68f51449fa6807/6/8/681489124052-1.jpg,Skates
CCM Tacks XF 70 Senior Ice Hockey Skates,$299.99,CCM,https://www.hockeymonkey.com/ccm-hockey-skates-tacks-xf-70-sr.html,https://www.hockeymonkey.com/media/catalog/product/cache/0755353d24487896ff68f51449fa6807/1/9/191520781576-1_21.jpg,Skates
CCM Jetspeed FT890 Senior Ice Hockey Skates,$679.99,CCM,https://www.hockeymonkey.com/ccm-hockey-skates-jetspeed-ft890-sr.html,https://www.hockeymonkey.com/media/catalog/product/cache/0755353d24487896ff68f51449fa6807/1/9/191035983533-1_20.jpg,Skates
Bauer Vapor FlyLite Junior Ice Hockey Skates,$749.99,Bauer,https://www.hockeymonkey.com/bauer-hockey-skates-vapor-flylite-jr.html,https://www.hockeymonkey.com/media/catalog/product/cache/0755353d24487896ff68f51449fa6807/6/8/688698707588-1_26.jpg,Skates
True HZRDUS 7X Intermediate Ice Hockey Skates,$174.99,True,https://www.hockeymonkey.com/true-hockey-skates-hzrdus-7x4-int.html,https://www.hockeymonkey.com/media/catalog/product/cache/0755353d24487896ff68f51449fa6807/6/8/681489123734-1.jpg,Skates
Bauer Vapor FlyLite Custom Ice Hockey Skates,"$1,399.99",Bauer,https://www.hockeymonkey.com/bauer-hockey-skates-vapor-flylite-custom.html,https://www.hockeymonkey.com/media/catalog/product/cache/0755353d24487896ff68f51449fa6807/2/3/2390235_1.jpg,Skates
CCM Tacks XF 80 Junior Ice Hockey Skates,$299.99,CCM,https://www.hockeymonkey.com/ccm-hockey-skates-tacks-xf-80-jr.html,https://www.hockeymonkey.com/media/catalog/product/cache/0755353d24487896ff68f51449fa6807/1/9/191520781033-1_11.jpg,Skates
True Catalyst 9X4 Intermediate Ice Hockey Skates,$879.99,True,https://www.hockeymonkey.com/true-hockey-skates-cat9x4-int.html,https://www.hockeymonkey.com/media/catalog/product/cache/0755353d24487896ff68f51449fa6807/6/8/681489147242-1-black_6.jpg,Skates
Bauer Vapor FlyLite Youth Ice Hockey Skates,$259.99,Bauer,https://www.hockeymonkey.com/bauer-hockey-skates-vapor-flylite-yt.html,https://www.hockeymonkey.com/media/catalog/product/cache/0755353d24487896ff68f51449fa6807/6/8/688698707663-1_9.jpg,Skates
Bauer Supreme M40 Youth Ice Hockey Skates,$129.99,Bauer,https://www.hockeymonkey.com/bauer-hockey-skates-supreme-m40-yt.html,https://www.hockeymonkey.com/media/catalog/product/cache/0755353d24487896ff68f51449fa6807/6/8/688698661415-1_9.jpg,Skates
True HZRDUS 5X Senior Ice Hockey Skates,$139.99,True,https://www.hockeymonkey.com/true-hockey-skates-hzrdus-5x4-sr.html,https://www.hockeymonkey.com/media/catalog/product/cache/0755353d24487896ff68f51449fa6807/6/8/681489124236-1-new.jpg,Skates
CCM Tacks XF 70 Junior Ice Hockey Skates,$189.99,CCM,https://www.hockeymonkey.com/ccm-hockey-skates-tacks-xf-70-jr.html,https://www.hockeymonkey.com/media/catalog/product/cache/0755353d24487896ff68f51449fa6807/1/9/191520789008-1_11.jpg,Skates
Bauer Vapor Fly40 Youth Ice Hockey Skates,$129.99,Bauer,https://www.hockeymonkey.com/bauer-hockey-skates-vapor-fly40-yt.html,https://www.hockeymonkey.com/media/catalog/product/cache/0755353d24487896ff68f51449fa6807/6/8/688698708837-1_11.jpg,Skates
Bauer Supreme M30 Intermediate Ice Hockey Skates,$259.99,Bauer,https://www.hockeymonkey.com/bauer-hockey-skates-supreme-m30-int.html,https://www.hockeymonkey.com/media/catalog/product/cache/0755353d24487896ff68f51449fa6807/6/8/688698639599-1_13.jpg,Skates
Bauer X-LS Junior Ice Hockey Skates,$54.99,Bauer,https://www.hockeymonkey.com/bauer-hockey-skates-x-ls-jr.html,https://www.hockeymonkey.com/media/catalog/product/cache/0755353d24487896ff68f51449fa6807/6/8/688698475739-1.jpg,Skates
CCM Jetspeed FT860 Junior Ice Hockey Skates,$189.99,CCM,https://www.hockeymonkey.com/ccm-hockey-skates-jetspeed-ft860-jr.html,https://www.hockeymonkey.com/media/catalog/product/cache/0755353d24487896ff68f51449fa6807/1/9/191035983939-1_6.jpg,Skates
CCM Jetspeed FT8 Pro Intermediate Ice Hockey Skates,"$1,129.99",CCM,https://www.hockeymonkey.com/ccm-hockey-skates-jetspeed-ft8-pro-int.html,https://www.hockeymonkey.com/media/catalog/product/cache/0755353d24487896ff68f51449fa6807/6/8/683978051115-1_15.jpg,Skates
Bauer Vapor Fly40 Intermediate Ice Hockey Skates,$449.99,Bauer,https://www.hockeymonkey.com/bauer-hockey-skates-vapor-fly40-int.html,https://www.hockeymonkey.com/media/catalog/product/cache/0755353d24487896ff68f51449fa6807/6/8/688698708592-1_18.jpg,Skates
True HZRDUS 9X Junior Ice Hockey Skates,$249.99,True,https://www.hockeymonkey.com/true-hockey-skates-hzrdus-9x4-jr.html,https://www.hockeymonkey.com/media/catalog/product/cache/0755353d24487896ff68f51449fa6807/6/8/681489123291-1.jpg,Skates
True HZRDUS 5X Intermediate Ice Hockey Skates,$114.99,True,https://www.hockeymonkey.com/true-hockey-skates-hzrdus-5x4-int.html,https://www.hockeymonkey.com/media/catalog/product/cache/0755353d24487896ff68f51449fa6807/6/8/681489124113-1.jpg,Skates
Bauer X-LS Youth Ice Hockey Skates,$49.99,Bauer,https://www.hockeymonkey.com/bauer-hockey-skates-x-ls-yth.html,https://www.hockeymonkey.com/media/catalog/product/cache/0755353d24487896ff68f51449fa6807/6/8/688698475685-1.jpg,Skates
Bauer X-LS Intermediate Ice Hockey Skates,$69.99,Bauer,https://www.hockeymonkey.com/bauer-hockey-skates-x-ls-int.html,https://www.hockeymonkey.com/media/catalog/product/cache/0755353d24487896ff68f51449fa6807/6/8/688698475753-1.jpg,Skates
CCM Tacks XF 70 Intermediate Ice Hockey Skates,$264.99,CCM,https://www.hockeymonkey.com/ccm-hockey-skates-tacks-xf-70-int.html,https://www.hockeymonkey.com/media/catalog/product/cache/0755353d24487896ff68f51449fa6807/1/9/191520781774-1_13.jpg,Skates
CCM Jetspeed FT680 Intermediate Ice Hockey Skates,$244.99,CCM,https://www.hockeymonkey.com/ccm-hockey-skates-jetspeed-ft680-int.html,https://www.hockeymonkey.com/media/catalog/product/cache/0755353d24487896ff68f51449fa6807/1/9/191520633585-1.jpg,Skates
CCM Jetspeed FT890 Youth Ice Hockey Skates,$129.99,CCM,https://www.hockeymonkey.com/ccm-hockey-skates-jetspeed-ft890-yt.html,https://www.hockeymonkey.com/media/catalog/product/cache/0755353d24487896ff68f51449fa6807/1/9/191035981690-1_10.jpg,Skates
CCM Tacks AS-V Pro Intermediate Ice Hockey Skates With Step Blacksteel Runner,$673.97,CCM,https://www.hockeymonkey.com/ccm-hockey-skates-tacks-as-v-pro-int-blacksteel.html,https://www.hockeymonkey.com/media/catalog/product/cache/0755353d24487896ff68f51449fa6807/1/9/191520429782-black-1.jpg,Skates
Bauer X-LP Senior Ice Hockey Skates,$159.99,Bauer,https://www.hockeymonkey.com/bauer-hockey-skates-x-lp-sr.html,https://www.hockeymonkey.com/media/catalog/product/cache/0755353d24487896ff68f51449fa6807/6/8/688698475913-1-new.jpg,Skates
CCM Jetspeed FT6 Pro Intermediate Ice Hockey Skates,$699.99,CCM,https://www.hockeymonkey.com/ccm-hockey-skates-jetspeed-ft6-pro-int.html,https://www.hockeymonkey.com/media/catalog/product/cache/0755353d24487896ff68f51449fa6807/1/9/191520632687-1.jpg,Skates
True Catalyst 7X4 Intermediate Ice Hockey Skates,$649.99,True,https://www.hockeymonkey.com/true-hockey-skates-cat7x4-int.html,https://www.hockeymonkey.com/media/catalog/product/cache/0755353d24487896ff68f51449fa6807/6/8/681489146924-1-black_8.jpg,Skates
CCM Tacks 652 Intermediate Ice Hockey Skates,$599.99,CCM,https://www.hockeymonkey.com/ccm-hockey-skates-tacks-xf-652-int.html,https://www.hockeymonkey.com/media/catalog/product/cache/0755353d24487896ff68f51449fa6807/1/9/191520857745-1_13.jpg,Skates
CCM Tacks 652 Pro Senior Ice Hockey Skates,"$1,099.99",CCM,https://www.hockeymonkey.com/ccm-hockey-skates-tacks-xf-652-pro-sr.html,https://www.hockeymonkey.com/media/catalog/product/cache/0755353d24487896ff68f51449fa6807/1/9/191520884246-1_34.jpg,Skates
CCM Tacks XF Pro Intermediate Ice Hockey Skates,"$1,069.99",CCM,https://www.hockeymonkey.com/ccm-hockey-skates-tacks-xf-pro-int.html,https://www.hockeymonkey.com/media/catalog/product/cache/0755353d24487896ff68f51449fa6807/1/9/191520778477-1_19.jpg,Skates
Bauer Supreme M50 Pro Youth Ice Hockey Skates,$249.99,Bauer,https://www.hockeymonkey.com/bauer-hockey-skates-supreme-m50-pro-yt.html,https://www.hockeymonkey.com/media/catalog/product/cache/0755353d24487896ff68f51449fa6807/6/8/688698639537-1_11.jpg,Skates
CCM Jetspeed FT860 Intermediate Ice Hockey Skates,$219.99,CCM,https://www.hockeymonkey.com/ccm-hockey-skates-jetspeed-ft860-int.html,https://www.hockeymonkey.com/media/catalog/product/cache/0755353d24487896ff68f51449fa6807/6/8/683978054550-1_13.jpg,Skates
CCM Tacks XF Intermediate Ice Hockey Skates,$849.99,CCM,https://www.hockeymonkey.com/ccm-hockey-skates-tacks-xf-int.html,https://www.hockeymonkey.com/media/catalog/product/cache/0755353d24487896ff68f51449fa6807/1/9/191520779504-1.jpg,Skates
CCM Jetspeed FT8 Intermediate Ice Hockey Skates,$849.99,CCM,https://www.hockeymonkey.com/ccm-hockey-skates-jetspeed-ft8-int.html,https://www.hockeymonkey.com/media/catalog/product/cache/0755353d24487896ff68f51449fa6807/6/8/683978050392-1_15.jpg,Skates
Graf Supra G315X Junior Hockey Skates,$209.99,Graf,https://www.hockeymonkey.com/graf-hockey-skates-supra-g315x-jr-25.html,https://www.hockeymonkey.com/media/catalog/product/cache/0755353d24487896ff68f51449fa6807/4/2/421185988416-1_8.jpg,Skates
