Name,Price,Image_URL,Category
BalancePlus Pull-On Anti-Slider,$22.95,,https://thecurlingstore.com/cdn/shop/products/gripper_500x500_5c06d55f69dab-jpg-keep-ratio_300x300.jpeg?v=1558977864,Footwear
Men's BalancePlus 401 Series Curling Shoes,$159.95,,https://thecurlingstore.com/cdn/shop/products/Image_2019-05-31_at_4.34_PM_300x300.jpg?v=1559331414,Footwear
BalancePlus Pull-On Slider,$54.95,,https://thecurlingstore.com/cdn/shop/products/pullon-_1__500x500_5c095425b142d-jpg-keep-ratio_300x300.jpeg?v=1557232878,Footwear
Goldline Pull-On Anti-Slider,$22.95,,https://thecurlingstore.com/cdn/shop/products/ANTIS_01-01_300x300.jpg?v=1567260841,Footwear
Men's BalancePlus 703 Series Curling Shoes,$219.95,,https://thecurlingstore.com/cdn/shop/products/ls-grey_300x300.png?v=1598728168,Footwear
Tournament Pull-On Anti-Slider,$22.95,,https://thecurlingstore.com/cdn/shop/products/Pull_On_Anti_Sli_4e45bef9ac0fd_500x500_5c096f88958d7-jpg-keep-ratio_300x300.jpeg?v=1557233689,Footwear
Men’s BalancePlus 403 Series Curling Shoes,$209.95,,https://thecurlingstore.com/cdn/shop/products/Men___s_BalanceP_524220deabb81-2_500x500_5bf6cea22149d-png-keep-ratio_300x300.png?v=1559161302,Footwear
Women's BalancePlus 401 Series Curling Shoes,$159.95,,https://thecurlingstore.com/cdn/shop/products/Image_2019-05-31_at_4.27_PM_300x300.jpg?v=1559330942,Footwear
Men's Asham Club Ultra Lite Curling Shoes,$219.95,,https://thecurlingstore.com/cdn/shop/products/ClubRotatorMen_sCurlingShoeSide_1024x1024_6f27afb0-274d-4cba-aaa2-222fd9f46949_300x300.png?v=1634516226,Footwear
Asham Rubber Rotator Slip-On Gripper,$26.95,,https://thecurlingstore.com/cdn/shop/products/Rubber_Rotator_S_4e45ba18776ed_500x500_5c09784f0e6ad-jpg-keep-ratio_300x300.jpeg?v=1558972013,Footwear
Men's BalancePlus 704 Series Curling Shoes,$239.95,,https://thecurlingstore.com/cdn/shop/products/ls-grey_e2375227-877d-4bf1-8baa-4f2cc14e746c_300x300.png?v=1666571946,Footwear
Women's BalancePlus 703 Series Curling Shoes,$219.95,,https://thecurlingstore.com/cdn/shop/products/ls-grey_dd5936f1-9c9f-4599-a34a-a2d47ed7c0cb_300x300.png?v=1598743705,Footwear
Women's BalancePlus 403 Series Curling Shoes,$209.95,,https://thecurlingstore.com/cdn/shop/products/Image_2019-05-31_at_4.24_PM_300x300.jpg?v=1559330751,Footwear
Asham Gripper Disk,$23.95,,https://thecurlingstore.com/cdn/shop/products/ASHAM_Gripper_Di_4e45b6ebc0ac2_500x500_5c098029d4fe1-jpg-keep-ratio_300x300.jpeg?v=1558969362,Footwear
Women's Asham Club Ultra Lite Curling Shoes,$219.95,,https://thecurlingstore.com/cdn/shop/products/ClubRotatorMen_sCurlingShoeSide_1024x1024_18d9de10-ee78-4393-bd09-86e1647d5732_300x300.png?v=1634516375,Footwear
Goldline Slip On Slider,$34.95,,https://thecurlingstore.com/cdn/shop/products/SLIDE-SLP_01-02_1_300x300.png?v=1668523485,Footwear
Men's Goldline Chinook Gen 2 Curling Shoes,$189.95,,https://thecurlingstore.com/cdn/shop/files/CYCL2-M_01-05_300x300.png?v=1725303139,Footwear
Men’s BalancePlus 400 Stick Curling Shoes,$144.95,,https://thecurlingstore.com/cdn/shop/products/Image_2019-05-31_at_4.29_PM_e708631b-4ff0-4750-a621-c1f2b64b7297_300x300.jpg?v=1559331192,Footwear
Men's Goldline Cyclone Gen 2 Curling Shoes,$269.95,,https://thecurlingstore.com/cdn/shop/files/CYCL2-M_01-05_300x300.png?v=1725303139,Footwear
BalancePlus Gripper Pods (set of two),$34.95,,https://thecurlingstore.com/cdn/shop/products/Image_2019-05-31_at_4.16_PM_300x300.jpg?v=1559330242,Footwear
Women's BalancePlus 704 Series Curling Shoes,$239.95,,https://thecurlingstore.com/cdn/shop/products/ls-grey_8b0ce1e4-6344-43a3-b392-c1a16b348768_300x300.png?v=1666572928,Footwear
Men's Goldline Momentum Rush Gen 2 Curling Shoes,$244.95,,https://thecurlingstore.com/cdn/shop/files/MRSH2-M_01-01_300x300.png?v=1725316608,Footwear
Women's Goldline Cyclone Curling Shoes,$259.95,,https://cdn.shopify.com/s/files/1/0094/8803/9998/files/sale-icon.png?6550,Footwear
Toe Coating Application,$25.00,,https://thecurlingstore.com/cdn/shop/products/Toe_Coat_Applica_4e8260ef6cc9c_500x500_5c07eb9ebe06a-jpeg-keep-ratio_300x300.jpeg?v=1557231997,Footwear
Asham Junior Curling Shoes,$159.95,,https://thecurlingstore.com/cdn/shop/products/club-shoe-full_r_1000x1000_d2e2c418-cca0-475f-a154-461682d252e3_300x300.jpg?v=1599833192,Footwear
Men's BalancePlus Delux Curling Shoes,$459.95,,https://thecurlingstore.com/cdn/shop/files/delux-two-piece-slider-with-lace-cover_300x300.png?v=1709390757,Footwear
Women's BalancePlus 400 Stick Curling Shoes,$144.95,,https://thecurlingstore.com/cdn/shop/products/Image_2019-05-31_at_4.29_PM_300x300.jpg?v=1559331058,Footwear
Men's Goldline Storm Gen 2 Curling Shoes,$229.95,,https://thecurlingstore.com/cdn/shop/files/CYCL2-M_01-05_300x300.png?v=1725303139,Footwear
Men's Goldline Swagger Gen 2 Stick Curling Shoes,$159.95,,https://thecurlingstore.com/cdn/shop/files/CYCL2-M_01-05_300x300.png?v=1725303139,Footwear
Men's Goldline Momentum Dash Curling Shoes,$244.95,,https://thecurlingstore.com/cdn/shop/files/MDASH-M_01-04_300x300.jpg?v=1693693058,Footwear
Women's Goldline Chinook Gen 2 Curling Shoes,$189.95,,https://thecurlingstore.com/cdn/shop/files/CYCL2-M_01-05_300x300.png?v=1725303139,Footwear
Men's BalancePlus 904 Curling Shoes,$369.95,,https://thecurlingstore.com/cdn/shop/files/900-series-side-by-side_300x300.png?v=1693849693,Footwear
Women's Goldline Swagger Gen 2 Stick Curling Shoes,$159.95,,https://thecurlingstore.com/cdn/shop/files/CYCL2-M_01-05_300x300.png?v=1725303139,Footwear
Asham 1/4 Inch Ring Slider Disk,$61.95,,https://thecurlingstore.com/cdn/shop/products/Image_2019-05-31_at_4.19_PM_300x300.jpg?v=1567260254,Footwear
Asham 5/32 Inch Slider Disk,$58.95,,https://thecurlingstore.com/cdn/shop/products/medwhtdisk_300x300.jpg?v=1558970839,Footwear
Men's Hardline M Series Curling Shoes,$358.95,,https://thecurlingstore.com/cdn/shop/files/HL-MSBLK-M_01-07_300x300.png?v=1756074370,Footwear
Women's Goldline Storm Gen 2 Curling Shoes,$229.95,,https://thecurlingstore.com/cdn/shop/files/CYCL2-M_01-05_300x300.png?v=1725303139,Footwear
Women's BalancePlus 904 Curling Shoes,$369.95,,https://thecurlingstore.com/cdn/shop/files/900-series-side-by-side_09def11e-ab15-4390-af8b-0433ee2c3d93_300x300.png?v=1693850242,Footwear
Women's Goldline Momentum Rush Gen 2 Curling Shoes,$244.95,,https://thecurlingstore.com/cdn/shop/files/MRSH2-W_01-01_6bcf6d9e-8c58-486a-8e39-95330fc32645_300x300.png?v=1755559541,Footwear
Men's BalancePlus 700 Stick Curling Shoes,$154.95,,https://thecurlingstore.com/cdn/shop/files/700-grey-side-by-side1_300x300.jpg?v=1724527919,Footwear
Women's BalancePlus 700 Stick Curling Shoes,$154.95,,https://thecurlingstore.com/cdn/shop/files/700-grey-side-by-side1_300x300.jpg?v=1724527919,Footwear
Women's Goldline Momentum Dash Curling Shoes,$244.95,,https://thecurlingstore.com/cdn/shop/files/MDASH-M_01-04_c077939c-4292-488b-bb38-c1bb352acd2b_300x300.jpg?v=1693784304,Footwear
Women's Hardline W Series Curling Shoes,$358.95,,https://thecurlingstore.com/cdn/shop/files/HL-MSBLK-M_01-07_b39541bf-7266-42aa-8ea5-c5fbd8f2da5f_300x300.png?v=1756074493,Footwear
Women's BalancePlus Delux Curling Shoes,$399.95,,https://thecurlingstore.com/cdn/shop/products/delux_500x500_5bbcfacf420f7-jpg-keep-ratio_300x300.jpeg?v=1559133634,Footwear
Goldline Momentum Gripper Pods (set of two),$29.95,,https://thecurlingstore.com/cdn/shop/files/MDSET-GRP_01-01_300x300.png?v=1736617752,Footwear
Sliding Tape,$44.95,,https://thecurlingstore.com/cdn/shop/products/Sliding_Tape_4e4475780b828_500x500_5c09801deffee-jpg-keep-ratio_300x300.jpeg?v=1557233505,Footwear
Women's Goldline Cyclone Gen 2 Curling Shoes,$269.95,,https://thecurlingstore.com/cdn/shop/files/CYCL2-M_01-05_300x300.png?v=1725303139,Footwear
Men's Goldline Momentum Force Curling Shoes,$244.95,,https://thecurlingstore.com/cdn/shop/files/MFRCE-M_01-01_300x300.png?v=1756137490,Footwear
Gripper Application,$39.95,,https://thecurlingstore.com/cdn/shop/products/Gripper_Applicat_4e825ebf4a9b5_500x500_5c09803076a6b-jpg-keep-ratio_300x300.jpeg?v=1559061779,Footwear
Flat Slider Application,$74.95,,https://thecurlingstore.com/cdn/shop/products/Flat_Slider_Appl_4e825e51b878c_500x500_5c0980417fd11-jpg-keep-ratio_300x300.jpeg?v=1557231421,Footwear
Women's Goldline Momentum Force Curling Shoes,$244.95,,https://thecurlingstore.com/cdn/shop/files/MFRCE-M_01-01_300x300.png?v=1756137490,Footwear
