name,category,level,description,requirements,date,start_time,end_time,location,price,max_participants,organizer,instructor
Basic Skating 101,workshop,beginner,"Learn the basics of standing and gliding on ice. Safe for absolute beginners.","Thick socks are mandatory.",2024-12-25,09:00,11:00,"Rink A",150000,20,"The Rink Academy","Coach Budi"
Pro Hockey Training,training,advanced,"Intensive training for hockey athletes focusing on agility and shooting accuracy.","Full protective gear required.",2024-12-26,18:00,21:00,"Main Arena",300000,30,"Jakarta Hockey Club","Coach Sarah"
Friday Ice Disco,social,all,"An exciting night with disco lights and a live DJ on the ice!","Bring as many friends as you can!",2024-12-27,19:00,23:00,"Main Hall",75000,100,"The Rink Events","DJ Frost"
Figure Skating Comp,competition,intermediate,"Intermediate level figure skating competition showcasing artistic skills.","Must have passed Basic Level 3.",2024-12-30,08:00,16:00,"Grand Arena",250000,50,"Ice Federation","Jury Team"
Toddler Glide Session,workshop,beginner,"Gentle introduction to ice for children aged 3-5 using penguin skating aids.","Parental supervision required.",2025-01-02,10:00,11:30,"Rink B",100000,15,"The Rink Academy","Coach Nana"
Ice Cardio Blast,training,intermediate,"High-intensity interval training on ice to build stamina and leg strength.","Basic skating skills required.",2025-01-03,07:00,08:30,"Rink A",120000,25,"Fitness On Ice","Coach Mike"
Speed Skating Qualifier,competition,advanced,"Time-trial race for advanced speed skaters qualifying for regional team.","Official speed skates only.",2025-01-05,09:00,14:00,"Grand Arena",200000,40,"Speed Skate Indo","Official Referees"
Couples Date Night,social,all,"Romantic skating session with slow music and warm beverages included.","Casual attire recommended.",2025-01-14,19:00,22:00,"Main Hall",250000,60,"The Rink Events","Guest Band"
Curling Taster Class,workshop,beginner,"Learn the strategy and technique of curling stone throwing and sweeping.","Clean sneakers required (no skates).",2025-01-10,14:00,16:00,"Rink C",175000,16,"Curling Association","Instructor Tom"
Advanced Spin Clinic,training,advanced,"Specialized clinic focusing on sit spins, camel spins, and axel preparation.","Must be able to perform a scratch spin.",2025-01-08,16:00,18:00,"Rink B",350000,10,"Elite Skate Co.","Coach Elena"
Corporate Ice Challenge,social,all,"Teambuilding games on ice including relay races and human bowling.","Company ID required.",2025-01-15,13:00,17:00,"Main Arena",500000,100,"Corp Events","Facilitator Team"